City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,suhbaatar,50.2314,106.2078,242.19,99,98,0.62,MN,1702254835
289,flying fish cove,-10.4217,105.6791,298.97,78,75,4.63,CX,1702254556
290,ishigaki,24.3448,124.1572,299.22,78,75,3.09,JP,1702254835
291,wasilla,61.5814,-149.4394,268.67,65,100,9.77,US,1702254836
292,tikapur,28.5,81.1333,284.56,69,0,1.55,NP,1702254836
293,mazagao,-0.115,-51.2894,302.18,82,77,2.85,BR,1702254836
294,mirny,62.5353,113.9611,243.48,96,99,3.0,RU,1702254836
295,udachny,66.4167,112.4,243.95,82,100,5.35,RU,1702254836
296,tataouine,32.9297,10.4518,285.05,52,0,7.03,TN,1702254836
297,fale old settlement,-9.3852,-171.2468,301.82,78,95,6.31,TK,1702254836
298,keflavik,64.0049,-22.5624,274.39,100,100,4.63,IS,1702254836
299,takoradi,4.8845,-1.7554,299.58,84,9,3.15,GH,1702254837
300,afaahiti,-17.75,-149.2833,303.08,82,76,11.11,PF,1702254837
301,severnoye,56.3491,78.3619,248.14,98,94,2.68,RU,1702254837
302,banda aceh,5.5577,95.3222,300.09,80,50,2.1,ID,1702254837
303,argo,37.6333,22.7333,283.59,95,100,0.89,GR,1702254837
304,enewetak,11.3474,162.3373,300.87,76,100,8.19,MH,1702254837
305,vikulovo,56.8167,70.6107,242.04,98,66,3.38,RU,1702254837
306,champerico,14.3,-91.9167,303.45,76,7,2.7,GT,1702254837
307,invercargill,-46.4,168.35,289.45,46,39,6.72,NZ,1702254837
308,macau,22.2006,113.5461,297.04,88,40,2.06,MO,1702254727
309,saint-philippe,-21.3585,55.7679,296.92,85,50,5.19,RE,1702254838
310,sao sepe,-30.1606,-53.5653,292.25,94,26,2.95,BR,1702254838
311,richards bay,-28.783,32.0377,292.35,93,100,4.3,ZA,1702254838
312,ambovombe,-25.1667,46.0833,296.85,86,31,1.27,MG,1702254838
313,bovalino,38.149,16.174,289.45,71,7,7.15,IT,1702254838
314,maridi,4.9158,29.4742,295.45,65,64,1.86,SS,1702254838
315,idaho falls,43.4666,-112.0341,272.51,86,100,1.34,US,1702254634
316,lefkada,38.8275,20.7019,284.1,82,100,4.12,GR,1702254838
317,maxixe,-23.8597,35.3472,298.48,93,76,4.33,MZ,1702254838
318,cidade velha,14.9167,-23.6167,297.41,73,20,5.14,CV,1702254838
319,puerto cabezas,14.0351,-83.3888,298.57,93,19,3.75,NI,1702254839
320,shakhtersk,48.0625,38.5167,272.02,94,100,6.1,UA,1702254839
321,aflou,34.1128,2.1023,282.39,48,1,2.67,DZ,1702254715
322,ancud,-41.8697,-73.8203,285.41,87,100,2.16,CL,1702254839
323,pitimbu,-7.4706,-34.8086,299.48,68,94,2.41,BR,1702254839
324,chibougamau,49.9168,-74.3659,269.94,93,100,3.09,CA,1702254839
325,caleta de carquin,-11.0925,-77.6267,293.66,83,100,4.29,PE,1702254839
326,nova sintra,14.8667,-24.7167,296.12,74,100,3.81,CV,1702254839
327,teodoro sampaio,-22.5325,-52.1675,295.74,87,100,0.97,BR,1702254839
328,inhambane,-23.865,35.3833,298.77,92,70,4.72,MZ,1702254840
329,happy valley-goose bay,53.3168,-60.3315,276.32,65,100,7.2,CA,1702254840
330,port alfred,-33.5906,26.891,289.92,94,45,1.45,ZA,1702254840
331,pacific grove,36.6177,-121.9166,291.12,63,0,3.58,US,1702254840
332,mogadishu,2.0371,45.3438,299.82,83,92,6.67,SO,1702254840
333,port blair,11.6667,92.75,298.17,94,20,1.03,IN,1702254840
334,boa vista,2.8197,-60.6733,303.14,58,40,3.6,BR,1702254840
335,nuuk,64.1835,-51.7216,271.49,74,100,6.69,GL,1702254840
336,ketchikan,55.3422,-131.6461,278.14,93,40,1.54,US,1702254840
337,aasiaat,68.7098,-52.8699,269.54,89,100,6.09,GL,1702254840
338,guayaramerin,-10.8368,-65.3614,299.21,83,100,0.9,BO,1702254841
339,pennagaram,12.1333,77.9,294.01,90,100,1.53,IN,1702254841
340,sharm el-sheikh,27.8518,34.305,295.23,64,0,3.09,EG,1702254841
341,dame-marie,18.5667,-74.4167,298.98,81,100,1.82,HT,1702254841
342,touros,-5.1989,-35.4608,300.15,65,59,4.55,BR,1702254841
343,secunderabad,17.5043,78.5426,290.44,60,8,1.35,IN,1702254841
344,hastings,50.8552,0.5729,285.81,82,13,14.56,GB,1702254833
345,lata,40.1629,-8.3327,288.75,93,59,1.84,PT,1702254842
346,murzuq,25.9155,13.9184,285.19,67,0,4.37,LY,1702254691
347,kabul,34.5,69.4167,275.85,28,40,2.42,AF,1702254844
348,marsa alam,25.0757,34.8918,296.08,80,96,1.93,EG,1702254844
349,colonia,50.9333,6.95,284.85,78,75,5.14,DE,1702254708
350,ulladulla,-35.35,150.4667,298.19,68,100,3.3,AU,1702254844
351,berezovyy,51.6667,135.7,251.08,56,4,3.48,RU,1702254844
352,thinadhoo,0.5333,72.9333,300.97,76,90,2.01,MV,1702254845
353,morondava,-20.2833,44.2833,301.34,70,100,2.41,MG,1702254845
354,juneau,58.3019,-134.4197,273.38,100,100,1.34,US,1702254645
355,jipijapa,-1.3333,-80.5833,297.87,79,73,1.78,EC,1702254845
356,timimoun,29.2639,0.231,284.36,46,0,3.6,DZ,1702254845
357,san juan,-31.5375,-68.5364,301.92,26,82,11.75,AR,1702254660
358,deinze,50.9818,3.531,284.91,85,56,10.58,BE,1702254606
359,brookings,44.3114,-96.7984,271.58,80,0,1.54,US,1702254845
360,codrington,-38.2667,141.9667,291.7,72,100,6.97,AU,1702254846
361,vilyuysk,63.7553,121.6247,243.94,97,100,3.3,RU,1702254846
362,santa rosalia,27.3167,-112.2833,289.12,54,0,4.17,MX,1702254846
